Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,3500,2019,640
TOTAAL INKOMEN,Alleenstaand,1.5 keer gemiddelde huur,1,2019,0
TOTAAL UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,1,2019,1.173
 huur/hypotheek,Alleenstaand,1.5 keer gemiddelde huur,1,2019,343
 gas,Alleenstaand,1.5 keer gemiddelde huur,1,2019,78
 elektriciteit,Alleenstaand,1.5 keer gemiddelde huur,1,2019,32
 water,Alleenstaand,1.5 keer gemiddelde huur,1,2019,9
 lokale lasten,Alleenstaand,1.5 keer gemiddelde huur,1,2019,44
 telefoon televisie internet,Alleenstaand,1.5 keer gemiddelde huur,1,2019,55
 verzekeringen,Alleenstaand,1.5 keer gemiddelde huur,1,2019,170
 onderwijs,Alleenstaand,1.5 keer gemiddelde huur,1,2019,0
 kinderopvang,Alleenstaand,1.5 keer gemiddelde huur,1,2019,0
 contributies en abonnementen,Alleenstaand,1.5 keer gemiddelde huur,1,2019,2
 vervoer,Alleenstaand,1.5 keer gemiddelde huur,1,2019,16
VASTE LASTEN,Alleenstaand,1.5 keer gemiddelde huur,1,2019,749
 kleding en schoenen,Alleenstaand,1.5 keer gemiddelde huur,1,2019,53
 inventaris,Alleenstaand,1.5 keer gemiddelde huur,1,2019,65
 onderhoud huis en tuin,Alleenstaand,1.5 keer gemiddelde huur,1,2019,23
 niet-vergoede ziektekosten,Alleenstaand,1.5 keer gemiddelde huur,1,2019,38
 vrijetijdsuitgaven,Alleenstaand,1.5 keer gemiddelde huur,1,2019,0
RESERVERINGSUITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,1,2019,179
 voeding,Alleenstaand,1.5 keer gemiddelde huur,1,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,1.5 keer gemiddelde huur,1,2019,30
HUISHOUDELIJKE UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,1,2019,245
OVERSCHOT/TEKORT,Alleenstaand,1.5 keer gemiddelde huur,1,2019,0
TOTAAL INKOMEN,Alleenstaand,1.5 keer gemiddelde huur,2,2019,0
TOTAAL UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2,2019,1.267
 huur/hypotheek,Alleenstaand,1.5 keer gemiddelde huur,2,2019,343
 gas,Alleenstaand,1.5 keer gemiddelde huur,2,2019,78
 elektriciteit,Alleenstaand,1.5 keer gemiddelde huur,2,2019,32
 water,Alleenstaand,1.5 keer gemiddelde huur,2,2019,9
 lokale lasten,Alleenstaand,1.5 keer gemiddelde huur,2,2019,44
 telefoon televisie internet,Alleenstaand,1.5 keer gemiddelde huur,2,2019,55
 verzekeringen,Alleenstaand,1.5 keer gemiddelde huur,2,2019,170
 onderwijs,Alleenstaand,1.5 keer gemiddelde huur,2,2019,0
 kinderopvang,Alleenstaand,1.5 keer gemiddelde huur,2,2019,0
 contributies en abonnementen,Alleenstaand,1.5 keer gemiddelde huur,2,2019,21
 vervoer,Alleenstaand,1.5 keer gemiddelde huur,2,2019,24
VASTE LASTEN,Alleenstaand,1.5 keer gemiddelde huur,2,2019,777
 kleding en schoenen,Alleenstaand,1.5 keer gemiddelde huur,2,2019,53
 inventaris,Alleenstaand,1.5 keer gemiddelde huur,2,2019,65
 onderhoud huis en tuin,Alleenstaand,1.5 keer gemiddelde huur,2,2019,23
 niet-vergoede ziektekosten,Alleenstaand,1.5 keer gemiddelde huur,2,2019,38
 vrijetijdsuitgaven,Alleenstaand,1.5 keer gemiddelde huur,2,2019,40
RESERVERINGSUITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2,2019,219
 voeding,Alleenstaand,1.5 keer gemiddelde huur,2,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,1.5 keer gemiddelde huur,2,2019,56
HUISHOUDELIJKE UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2,2019,271
OVERSCHOT/TEKORT,Alleenstaand,1.5 keer gemiddelde huur,2,2019,0
TOTAAL INKOMEN,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,2.000
TOTAAL UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,2.000
 huur/hypotheek,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,833
 gas,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,82
 elektriciteit,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,34
 water,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,10
 lokale lasten,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,44
 telefoon televisie internet,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,62
 verzekeringen,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,177
 onderwijs,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,0
 kinderopvang,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,0
 contributies en abonnementen,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,35
 vervoer,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,101
VASTE LASTEN,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,1.375
 kleding en schoenen,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,64
 inventaris,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,72
 onderhoud huis en tuin,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,24
 niet-vergoede ziektekosten,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,38
 vrijetijdsuitgaven,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,127
RESERVERINGSUITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,325
 voeding,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,85
HUISHOUDELIJKE UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,300
OVERSCHOT/TEKORT,Alleenstaand,1.5 keer gemiddelde huur,2000,2019,0
TOTAAL INKOMEN,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,2.250
TOTAAL UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,2.250
 huur/hypotheek,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,869
 gas,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,84
 elektriciteit,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,35
 water,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,10
 lokale lasten,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,44
 telefoon televisie internet,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,66
 verzekeringen,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,183
 onderwijs,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,0
 kinderopvang,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,0
 contributies en abonnementen,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,47
 vervoer,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,167
VASTE LASTEN,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,1.503
